Address,Sold Price,Type,Year built,Heating,Cooling,Parking,Bedrooms,Bathrooms,Elementary School Score,Elementary School Distance,Middle School Score,Middle School Distance,High School Score,High School Distance,Appliances included,Laundry features,Zip,Neighborhood
12218 Montana Ave APT 102,1355000.0,Condo,1996.0,Central,Central Air,"Community Structure, Garage - Two Door",2,3.0,,,7.0,1.4,6.0,0.8,"Dishwasher, Disposal, Refrigerator, Washer, Dryer",,90049,Brentwood
6665 Franklin Ave APT 4,449000.0,Condo,1985.0,Central,,Community Structure,1,1.0,4.0,0.4,3.0,1.1,6.0,0.5,Refrigerator,,90028,Hollywood
364 S Mansfield Ave,1550000.0,SingleFamily,1924.0,Central,Central Air,Garage,4,3.0,8.0,0.4,7.0,0.3,7.0,1.6,"Dishwasher, Washer, Dryer",Inside,90036,Fairfax
5471 Village Grn,953000.0,Townhouse,1945.0,Central,,"Garage - Single Door, On Site, Permit Required, Open",3,2.0,6.0,0.2,2.0,2.3,2.0,1.1,"Dishwasher, Refrigerator","Community, See Remarks",90016,West Adams
2232 Parnell Ave,1903000.0,SingleFamily,1931.0,Central,Central Air,"Detached Carport, Driveway, Garage",3,2.0,9.0,0.3,,,6.0,2.3,,"Inside, Laundry Room",90064,Rancho Park
6265 6267 S Hoover St #3,710000.0,MultiFamily,2019.0,Wall Furnace,,Covered,10,7.0,3.0,0.4,2.0,0.4,2.0,0.2,,See Remarks,90044,South Los Angeles
500 Molino St SUITE 104,1000000.0,Condo,1923.0,Central,Central,0 spaces,1,1.0,,,6.0,1.4,3.0,1.4,Dishwasher,In Unit,90013,Little Tokyo
10329 Anzac Ave,450000.0,SingleFamily,1944.0,,,Garage,3,1.0,4.0,8.0,3.0,0.5,,,,In Kitchen,90002,Watts
5051 Rosewood Ave APT 105,485000.0,Condo,1989.0,Central,Central Air,Garage - Attached,2,2.0,6.0,0.1,3.0,1.0,7.0,2.8,,Community,90004,Hancock Park
939 S Broadway #5,790280.0,Condo,1924.0,Central,Central,Garage - Detached,1,1.0,,,3.0,1.2,3.0,1.3,"Dishwasher, Dryer, Freezer, Garbage disposal, Microwave, Range / Oven, Washer","In Unit, Laundry Area, In Closet, Laundry Closet Stacked",90015,South Park
2626 W Avenue 34,675000.0,SingleFamily,1920.0,Central,Central Air,"Concrete, Garage - Single Door, On Street",2,2.0,4.0,0.5,,,,,"Dishwasher, Disposal, Microwave, Refrigerator, Washer, Dryer",Outside,90065,Glassell Park
12016 Washington Pl APT 102,807000.0,Condo,1987.0,"Central, Forced Air",Central Air,"Assigned, Community Structure, Covered, Tandem",2,3.0,6.0,0.2,2.0,0.9,6.0,1.1,"Dishwasher, Disposal, Microwave, Refrigerator, Washer, Dryer","Inside, Upper Level",90066,Mar Vista
416 N La Fayette Park Pl,812000.0,SingleFamily,1911.0,,,Driveway,2,1.0,5.0,0.4,5.0,1.0,3.0,1.1,,Laundry Room,90026,Echo Park
1400 N Hayworth Ave APT 36,751000.0,Condo,1954.0,Central,Central Air,"Gated, Tandem",2,1.0,7.0,0.7,3.0,1.7,7.0,0.9,"Disposal, Refrigerator",Community,90046,Hollywood Hills
1703 W 107th St,535000.0,SingleFamily,1939.0,"Central, Forced Air",Central Air,Garage,3,1.0,1.0,0.8,4.0,1.2,2.0,0.2,,Laundry Room,90047,South Los Angeles
1112 S Bedford Dr APT 301,1460000.0,Condo,1981.0,Central,Central Air,Assigned,2,3.0,7.0,1.0,7.0,2.2,6.0,1.7,,,90035,Beverlywood
2345 Roscomare Rd APT 402,525000.0,Condo,1971.0,Central,Central Air,"Garage - Single Door, Gated",2,2.0,9.0,0.2,,,6.0,4.5,"Dishwasher, Disposal, Refrigerator",Community,90077,Bel-Air
1828 S Manhattan Pl,920000.0,MultiFamily,1907.0,Gas,Wall,Covered,4,3.0,2.0,0.4,5.0,0.5,4.0,1.2,Garbage disposal,,90019,Mid-City
501 N Poinsettia Pl,4100000.0,SingleFamily,2019.0,Central,Central Air,Garage - Attached,6,8.0,3.0,1.0,,,7.0,0.7,"Barbecue, Dishwasher, Disposal, Microwave, Refrigerator, Washer",Laundry Room,90036,Fairfax
910 Masselin Ave,1435000.0,SingleFamily,1925.0,Forced Air,Wall/Window Unit(s),"Driveway, Garage",3,3.0,2.0,0.6,7.0,1.1,7.0,1.6,"Dishwasher, Double Oven","In Kitchen, Inside",90036,Fairfax
817 W 125th St,610000.0,SingleFamily,1959.0,"Central, Fireplace(s)",,"Attached Carport, Driveway, Garage",3,3.0,3.0,0.4,4.0,1.2,2.0,1.4,"Gas Range, Gas Water Heater","Gas Dryer Hookup, Inside, Washer Hookup",90044,South Los Angeles
416 N Avenue 52,899000.0,SingleFamily,1911.0,Central,Central Air,Concrete,3,2.0,3.0,0.3,,,7.0,0.4,"Barbecue, Dishwasher, Refrigerator, Water Purifier, Washer, Dryer",Inside,90042,Highland Park
1160 W 102nd St,549000.0,SingleFamily,1932.0,Floor Furnace,,Attached Carport,3,2.0,5.0,0.4,4.0,1.6,2.0,0.6,,,90044,South Los Angeles
1234 E 125th St,420000.0,SingleFamily,1942.0,Central,Central Air,Garage - Attached,2,1.0,3.0,0.4,,,3.0,0.3,,,90059,Willowbrook
2139 Colby Ave,1375000.0,Condo,1992.0,Central,Central Air,"Garage - Two Door, Guest",3,3.0,7.0,0.5,3.0,0.8,6.0,1.1,,Laundry Room,90025,West Los Angeles
2771 Woodwardia Dr,1356925.0,SingleFamily,1971.0,Central,,Garage - Attached,4,3.0,9.0,1.2,,,6.0,4.9,"Dishwasher, Disposal, Washer, Dryer","Inside, Laundry Room",90077,Bel-Air
1731 W 108th St #AB,660000.0,MultiFamily,1950.0,Central,Air Conditioning,Covered,3,2.0,1.0,0.7,4.0,1.1,2.0,0.3,"Dishwasher, Garbage disposal, Microwave, Refrigerator",,90047,South Los Angeles
6250 Hollywood Blvd UNIT 7L,672000.0,Condo,2009.0,Central,Central Air,"Assigned, Valet",1,1.0,4.0,0.8,3.0,0.6,6.0,0.9,"Dishwasher, Disposal, Microwave, Refrigerator, Washer, Dryer",,90028,Hollywood
3526 W 27th St,690000.0,SingleFamily,1917.0,,Central Air,Garage,3,2.0,3.0,0.2,3.0,0.8,2.0,1.5,,,90018,Jefferson Park
654 N Virgil Ave APT 302,793000.0,Condo,2019.0,Central,Central,Covered,3,3.0,6.0,0.1,6.0,0.9,8.0,1.7,"Dishwasher, Dryer, Garbage disposal, Refrigerator, Washer",In Unit,90004,Hancock Park
1840 S Beverly Glen Blvd APT 307,800000.0,Condo,1989.0,Central,,"Garage, Gated, Guest, Private, Underground, Side By Side",2,3.0,9.0,0.7,,,6.0,2.5,"Dishwasher, Disposal, Vented Exhaust Fan, Dryer","Inside, Laundry Room",90025,West Los Angeles
1541 W 59th St,585000.0,MultiFamily,1941.0,Floor Furnace,,Covered,2,2.0,,,,,2.0,1.0,,,90047,South Los Angeles
10580 Wilshire Blvd UNIT 4SE,1500000.0,Condo,1991.0,Central,Central Air,Valet,2,3.0,,,,,,,"Dishwasher, Disposal, Microwave, Refrigerator, Washer, Dryer",Laundry Room,90024,Westwood
3468 N Figueroa St,600000.0,SingleFamily,1916.0,Floor Furnace,,0 spaces,4,2.0,4.0,0.1,5.0,0.3,,,,"Inside, Washer Hookup",90065,Glassell Park
3449 E 3rd St,472500.0,SingleFamily,1920.0,,,Garage,3,1.0,3.0,0.5,3.0,0.5,3.0,1.1,,Inside,90063,City Terrace
2423 W 76th St,420000.0,SingleFamily,1927.0,Central,Wall/Window Unit(s),Detached Carport,3,1.0,3.0,0.3,,,,,,,90043,View Park-Windsor Hills
8443 Brier Dr,1055000.0,SingleFamily,1996.0,Central,,"Driveway, Garage - Two Door",2,3.0,9.0,0.7,3.0,2.6,7.0,1.7,"Dishwasher, Disposal, Refrigerator",Inside,90046,Hollywood Hills
10320 Kalmia St,415000.0,SingleFamily,1921.0,Wall Furnace,,Garage,4,2.0,2.0,0.1,3.0,0.9,,,,"In Kitchen, Laundry Room",90002,Watts
1239 N Stone St,865000.0,SingleFamily,1948.0,Central,,Driveway,4,3.0,4.0,0.2,4.0,1.2,,,"Dishwasher, Disposal, Refrigerator",Laundry Room,90063,City Terrace
9423 S Hobart Blvd,766000.0,SingleFamily,1946.0,Central,Central Air,"Driveway, Garage - Two Door",4,2.0,1.0,0.2,4.0,1.8,2.0,0.9,"Dishwasher, Disposal, Refrigerator, Washer",,90047,South Los Angeles
346 W 75th St,515000.0,MultiFamily,1925.0,Wall,,Covered,3,3.0,3.0,0.2,2.0,0.5,2.0,1.0,,,90003,South Los Angeles
1832 Grace Ave,1262000.0,Condo,1927.0,Central,Central Air,"Assigned, Auto Driveway Gate, Community Structure, Gated",3,2.0,4.0,0.3,3.0,1.1,6.0,0.6,"Dishwasher, Disposal, Refrigerator, Washer, Dryer","Laundry Closet, In Kitchen",90028,Hollywood
10711 Wilmington Ave,420000.0,SingleFamily,2004.0,,See Remarks,Garage - Attached,4,3.0,4.0,8.3,3.0,0.4,,,,"Laundry Room, Inside",90059,Willowbrook
8455 Truxton Ave,1385000.0,SingleFamily,1941.0,Central,Central Air,"Detached Carport, Covered",3,3.0,5.0,0.4,,,,,"Dishwasher, Microwave, Refrigerator, Trash Compactor, Washer",Inside,90045,Westchester
3555 Keystone Ave APT 302,775000.0,Condo,1980.0,Central,Central Air,"Community Structure, Garage Door Opener, Side By Side",2,2.0,3.0,0.2,7.0,0.4,6.0,1.4,,,90034,Palms
5461 3rd Ave,557500.0,SingleFamily,1920.0,,See Remarks,,3,2.0,3.0,0.3,2.0,1.2,,,,See Remarks,90043,View Park-Windsor Hills
16366 Sloan Dr,3600000.0,SingleFamily,2019.0,"Central, See Remarks",Central Air,"Driveway, Garage Faces Front",4,5.0,9.0,1.7,,,6.0,5.5,"6 Burner Stove, Dishwasher, Double Oven, Gas Range, Microwave, Range Hood, Refrigerator","Laundry Room, Washer Hookup",90049,Brentwood
835 S Lucerne Blvd APT 109,739000.0,Condo,1980.0,Central,Central Air,"Assigned, Controlled Entrance, Covered, Garage - Two Door",2,2.0,7.0,0.6,7.0,0.8,4.0,0.5,"Dishwasher, Disposal, Microwave, Electric Cooktop, Range Hood",Inside,90005,Koreatown
935 E 53rd St,440000.0,SingleFamily,1916.0,,,,3,2.0,2.0,0.1,3.0,0.4,,,Microwave,,90011,South Park
2332 Parnell Ave,2775000.0,SingleFamily,1925.0,Central,Central Air,0 spaces,4,5.0,9.0,0.5,,,6.0,2.4,"Dishwasher, Disposal, Microwave, Refrigerator",Laundry Room,90064,Rancho Park
1431 N Beverly Glen Blvd,660000.0,SingleFamily,1916.0,Forced Air,,On Street,1,2.0,9.0,1.9,,,6.0,3.5,"Disposal, Refrigerator, Washer, Dryer",Laundry Closet,90077,Bel-Air
1953 Buckingham Rd,1825000.0,SingleFamily,1926.0,Central,,Garage - Two Door,5,5.0,4.0,0.3,3.0,0.7,4.0,1.1,"Dishwasher, Disposal, Refrigerator",,90016,West Adams
2741 Glendon Ave,2169000.0,SingleFamily,1945.0,Central,Central Air,"Converted Garage, Detached Carport",3,3.0,9.0,0.3,7.0,0.8,6.0,2.1,"Dishwasher, Disposal, Microwave, Refrigerator, Washer, Dryer",Laundry Closet,90064,Rancho Park
10490 Wilshire Blvd APT 504,2150000.0,Condo,1989.0,Central,Central Air,"Assigned, Side By Side, Valet",3,3.0,9.0,0.3,,,6.0,2.2,"Dishwasher, Microwave, Refrigerator, Washer, Dryer",Laundry Room,90024,Westwood
5708 S Victoria Ave,781620.0,SingleFamily,1926.0,Wall Furnace,,Private,3,2.0,2.0,0.7,2.0,1.2,,,Dishwasher,Inside,90043,View Park-Windsor Hills
706 E Colden Ave,505000.0,SingleFamily,1941.0,,,Garage,3,2.0,5.0,0.3,1.0,1.2,,,,Common Area,90002,Watts
1419 N Avenue 46,750000.0,SingleFamily,1937.0,Wall Furnace,,,3,3.0,5.0,0.0,,,7.0,1.2,,Outside,90041,Eagle Rock
3555 Keystone Ave #13,775000.0,Condo,1980.0,"None, Other",Central,Covered,2,2.0,3.0,0.2,7.0,0.4,6.0,1.4,"Dishwasher, Garbage disposal",,90034,Palms
3003 Virginia Rd,840000.0,SingleFamily,1927.0,Zoned,Wall/Window Unit(s),"Garage, Garage - Detached, Covered",2,1.0,5.0,0.0,3.0,1.2,2.0,0.5,Dishwasher,"Inside, Gas Dryer Hookup, Washer Hookup",90016,West Adams
1631 E 114th St,354000.0,SingleFamily,1981.0,Central,,"Garage - Attached, Covered",3,2.0,2.0,0.2,3.0,0.6,,,Range / Oven,Inside,90059,Willowbrook
239 E 68th St,385000.0,SingleFamily,1914.0,Fireplace(s),,,2,1.0,4.0,0.1,2.0,0.3,3.0,0.5,,Inside,90003,South Los Angeles
2340 Greenfield Ave,1905000.0,SingleFamily,1929.0,"Central, Forced Air",Central Air,"Driveway, Garage - Two Door",3,3.0,9.0,0.5,,,6.0,1.8,"Dishwasher, Disposal, Microwave, Refrigerator, Washer, Dryer",Inside,90064,Rancho Park
400 E 98th St,380000.0,SingleFamily,1940.0,,,Garage,2,1.0,3.0,0.3,1.0,1.5,2.0,0.6,,See Remarks,90003,South Los Angeles
1126 E 59th Pl,400000.0,SingleFamily,1971.0,See Remarks,See Remarks,Garage - Attached,3,2.0,,,3.0,0.7,,,,,90001,
4837 Beverly Blvd APT 102,650000.0,Condo,,Central,Central Air,"Assigned, Community Structure, Covered",2,2.0,6.0,0.3,3.0,1.2,7.0,2.9,"Dishwasher, Disposal, Washer, Dryer",,90004,Hancock Park
3520 Emma Ave,520000.0,SingleFamily,1916.0,Wall,Wall/Window Unit(s),"Garage, Covered",5,3.0,4.0,0.3,5.0,1.2,4.0,1.2,,Outside,90031,Lincoln Heights
354 N Ridgewood Pl,2495000.0,SingleFamily,1920.0,"Central, Fireplace(s)","Central Air, Heat Pump","Detached Carport, Driveway",4,4.0,6.0,0.2,3.0,1.1,7.0,2.9,"Dishwasher, Disposal, Microwave, Refrigerator, Vented Exhaust Fan, Washer, Dryer",Inside,90004,Hancock Park
1275 N Harper Ave APT 2,545000.0,Condo,1953.0,Central,,"Garage, Gated, On Site",1,1.0,3.0,0.6,,,7.0,0.9,"Dishwasher, Microwave",Inside,90046,Hollywood Hills
10964 Willowbrook Ave,440000.0,SingleFamily,1992.0,,,Garage - Attached,3,3.0,3.0,0.3,3.0,0.4,,,,Inside,90059,Willowbrook
2862 Nichols Canyon Rd,2487275.0,SingleFamily,1966.0,Central,Central Air,Garage - Attached,3,3.0,8.0,1.0,3.0,2.6,7.0,2.5,"Disposal, Refrigerator, Built-In, Oven, Range, Dryer",Inside,90046,Hollywood Hills
2332 Century Hl,1300000.0,Townhouse,1980.0,Central,Central Air,"Controlled Entrance, Covered, Direct Access, Garage - Three Door",2,3.0,9.0,1.3,,,6.0,3.2,"Dishwasher, Disposal, Microwave, Refrigerator, Washer, Dryer",Laundry Room,90067,Century City
10408 Anzac Ave,470000.0,MultiFamily,1940.0,"Wall, Gas",,Off-street,6,3.0,4.0,8.1,3.0,0.5,,,,Inside,90002,Watts
1700 W Jefferson Blvd,673000.0,SingleFamily,1907.0,Wall Furnace,,Covered,3,1.0,,,,,,,,"Individual Room, In Kitchen",90018,Jefferson Park
334 N Hobart Blvd,1149000.0,SingleFamily,2013.0,Central,Dual,"Direct Access, Garage - Two Door",4,3.0,3.0,0.1,5.0,0.9,7.0,3.4,"Dishwasher, Microwave, Refrigerator, Washer, Dryer","Inside, Stackable",90004,Hancock Park
1272 S Orange Dr,256000.0,MultiFamily,1925.0,High Efficiency,Central,"Garage - Detached, Off-street, On-street, Covered",4,4.0,2.0,0.4,7.0,0.9,4.0,0.8,"Dishwasher, Dryer, Garbage disposal, Microwave, Refrigerator, Trash compactor, Washer","Area, Individual Room, Washer Hookup, Gas & Electric Dryer Hookup",90019,Mid-City
3753 Toland Way,480000.0,SingleFamily,1947.0,See Remarks,See Remarks,Garage - Two Door,3,2.0,5.0,0.9,,,7.0,2.0,"Refrigerator, Dishwasher","Inside, Gas Dryer Hookup",90065,Glassell Park
220 E 99th St,885000.0,SingleFamily,1925.0,Wall Heater,,0 spaces,2,1.0,3.0,0.4,2.0,0.8,8.0,0.5,,,90003,South Los Angeles
6629 Estrella Ave,201159.0,SingleFamily,1920.0,,See Remarks,Covered,6,3.0,4.0,0.0,2.0,0.6,2.0,0.5,,See Remarks,90044,South Los Angeles
320 N Alta Vista Blvd,4300000.0,SingleFamily,2018.0,Central,Central Air,"Direct Access, Driveway, Garage - Two Door, Gated, Private",6,6.0,3.0,1.2,,,7.0,0.9,"Barbecue, Dishwasher, Disposal, Microwave, Refrigerator, Washer",Upper Level,90036,Fairfax
124 N Gage Ave #5,1100000.0,MultiFamily,1908.0,See Remarks,See Remarks,Covered,8,5.0,3.0,0.2,4.0,0.2,,,,See Remarks,90063,City Terrace
2648 Claray Dr,1745000.0,SingleFamily,1976.0,Central,Central Air,"Direct Access, Garage - Two Door",5,4.0,9.0,1.0,,,6.0,4.7,"Dishwasher, Disposal, Microwave, Refrigerator, Washer, Dryer",In Garage,90077,Bel-Air
1962 Virginia Rd,1550000.0,SingleFamily,1923.0,Central,,"Driveway, Garage - Two Door",4,3.0,4.0,0.4,3.0,0.6,4.0,1.1,"Dishwasher, Disposal, Refrigerator",In Kitchen,90016,West Adams
11724 Culver Blvd #9,1285000.0,Condo,2019.0,Central,"Central, Air Conditioning",Garage - Attached,4,4.0,3.0,0.2,2.0,0.8,6.0,1.8,"Dishwasher, Garbage disposal, Microwave, Range / Oven","In Closet, On Upper Level",90066,Mar Vista
1935 Curson Pl,2220000.0,SingleFamily,2002.0,Central,Central Air,Garage - Three Door,4,4.0,7.0,0.5,3.0,1.6,7.0,1.5,"Dishwasher, Microwave, Refrigerator, Washer",Inside,90046,Hollywood Hills
12542 Stoney Ln,6900000.0,SingleFamily,1992.0,"Central, Zoned",Central Air,"Built-In Storage, Direct Access, Driveway, Gated, Guest, Side By Side",8,10.0,9.0,2.1,7.0,3.1,8.0,4.4,"Barbecue, Dishwasher, Disposal, Microwave, Refrigerator","Inside, Laundry Room",90049,Brentwood
833 N Spaulding Ave,1850000.0,SingleFamily,1923.0,"None, Other",Central,"Garage, Covered",2,2.0,3.0,0.3,,,7.0,0.3,,,90046,Hollywood Hills
1417 Montecito Dr,715000.0,SingleFamily,1939.0,"Floor Furnace, Natural Gas",,Garage - Single Door,2,1.0,5.0,0.3,,,,,"Gas Cooking, Range Hood, Vented Exhaust Fan","Gas Dryer Hookup, Laundry Room, Inside",90031,Lincoln Heights
800 W 1st St APT 1601,430000.0,Condo,1968.0,Central,Central Air,"Structure, Underground",1,1.0,6.0,0.9,3.0,0.8,3.0,0.8,,Inside,90012,Downtown LA
585 N Bronson Ave,1400000.0,SingleFamily,1924.0,Central,Central Air,"Garage - Two Door, Porte-Cochere",3,2.0,6.0,0.1,3.0,0.8,7.0,2.6,"Dishwasher, Disposal",,90004,Hancock Park
6052 W 74th St,1200000.0,SingleFamily,1948.0,Wall,Central,"Garage, Garage - Detached, Covered",3,2.0,5.0,0.5,,,,,"Dishwasher, Dryer, Freezer, Garbage disposal, Range / Oven, Refrigerator, Washer",,90045,Westchester
1929 Hillcrest Dr,1249000.0,MultiFamily,1921.0,,,0 spaces,4,2.0,4.0,0.2,3.0,0.8,4.0,1.1,,,90016,West Adams
1808 Wollam St,810000.0,SingleFamily,1928.0,"Natural Gas, Wall Furnace",Wall/Window Unit(s),Garage - Single Door,4,4.0,4.0,0.7,,,,,"Gas Oven, Range","Gas Dryer Hookup, Laundry Room, Inside",90065,Glassell Park
1533 E 124th St,435000.0,SingleFamily,1945.0,,"Central Air, See Remarks",Garage,2,2.0,3.0,0.3,,,3.0,0.6,,See Remarks,90059,Willowbrook
1683 La Fayette Rd,725000.0,SingleFamily,1924.0,,,Driveway,2,1.0,4.0,0.3,3.0,0.5,,,,Inside,90019,Mid-City
11915 Gorham Ave APT 9,1060000.0,Condo,1981.0,Central,Central Air,"Community Structure, Side By Side",2,2.0,9.0,1.7,7.0,1.6,6.0,0.7,"Barbecue, Dishwasher, Disposal, Microwave, Refrigerator, Washer, Dryer",,90049,Brentwood
1662 W 51st Pl,495000.0,SingleFamily,1913.0,Floor Furnace,,Garage,2,1.0,2.0,0.1,,,,,,"Gas & Electric Dryer Hookup, Gas Dryer Hookup, In Kitchen",90062,South Los Angeles
3012 Haddington Dr,1741800.0,SingleFamily,1931.0,Central,Central Air,"Driveway, Garage - Two Door",3,2.0,9.0,0.6,7.0,0.8,6.0,1.4,"Dishwasher, Disposal, Refrigerator",Inside,90064,Rancho Park
417 S State St,657500.0,MultiFamily,1900.0,"Forced air, Gas",Other,"Garage - Detached, Off-street, Covered",5,3.0,4.0,0.2,6.0,0.6,9.0,0.5,,,90033,Boyle Heights
559 S Sadler Ave,475000.0,SingleFamily,1931.0,Wall Furnace,,,3,1.0,3.0,0.5,,,5.0,1.6,,,90022,East Los Angeles
658 E 54th St,330000.0,SingleFamily,1910.0,Wall,,0 spaces,2,1.0,2.0,0.4,3.0,0.1,,,,Outside,90011,South Park
134 E 66th St,395000.0,SingleFamily,1980.0,Other,,"Garage, Covered",3,2.0,4.0,0.2,2.0,0.2,2.0,1.0,,,90003,South Los Angeles
7463 Franklin Ave,2300000.0,SingleFamily,1940.0,Central,Central Air,"Driveway, Garage - Two Door",3,4.0,7.0,0.3,3.0,1.4,7.0,1.4,"Dishwasher, Disposal, Refrigerator, Washer, Dryer",In Garage,90046,Hollywood Hills
1416 S Cloverdale Ave,2895000.0,MultiFamily,2020.0,"Forced air, Gas",Central,"Garage, Garage - Attached, Covered",12,12.0,4.0,0.3,,,7.0,2.3,"Dishwasher, Dryer, Freezer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Washer",In Unit,90019,Mid-City
1927 Griffith Park Blvd,1219000.0,SingleFamily,2019.0,Central,Central,Garage - Attached,3,4.0,8.0,0.9,6.0,0.4,8.0,0.7,"Dishwasher, Garbage disposal, Microwave, Range / Oven","On Upper Level, Laundry Closet Stacked, In Unit",90039,Atwater Village
4232 Verdugo Rd,1205000.0,SingleFamily,1948.0,"Forced air, Other",Other,"Off-street, Covered",2,1.0,9.0,0.3,,,7.0,1.7,"Dryer, Washer",In Unit,90065,Glassell Park
4005 Monroe St APT 6,775000.0,Condo,2007.0,,,Garage,2,4.0,4.0,0.3,6.0,0.7,8.0,1.5,,,90029,East Hollywood
5936 Luna Park,1200000.0,Townhouse,2015.0,Central,Central Air,"Garage - Attached, Covered",4,4.0,4.0,0.4,,,6.0,1.7,"Dishwasher, Dryer, Garbage disposal",Gas & Electric Dryer Hookup,90035,Beverlywood
3981 Moore St APT 301,999995.0,Condo,2019.0,Central,"Central, Air Conditioning, Ceiling Fan, Electric",Covered,2,2.0,7.0,0.5,4.0,0.7,6.0,0.4,"Dishwasher, Dryer, Freezer, Garbage disposal",In Unit,90066,Mar Vista
1601 W 68th St,468000.0,SingleFamily,1923.0,Central,,"Garage Faces Side, Garage - Two Door, Garage Door Opener",3,2.0,3.0,0.6,2.0,1.0,2.0,1.2,,Gas & Electric Dryer Hookup,90047,South Los Angeles
315 W 55th St,490000.0,SingleFamily,1906.0,Forced Air,,Garage,4,2.0,5.0,0.4,3.0,0.9,,,,See Remarks,90037,Exposition Park
654 N Virgil Ave APT 203,589000.0,Condo,2019.0,Central,Central Air,Assigned,2,2.0,6.0,0.1,6.0,0.9,8.0,1.7,"Dishwasher, Disposal, Refrigerator, Washer, Dryer",,90004,Hancock Park
356 S Hudson Ave,19000000.0,SingleFamily,1925.0,Central,Multi/Zone,"Garage, Covered",9,11.0,8.0,0.3,7.0,0.4,7.0,2.0,"Dishwasher, Dryer, Garbage disposal, Refrigerator, Washer",Inside,90020,Wilshire Center
7407 S Denker Ave,465000.0,SingleFamily,1927.0,Wall Furnace,,"Concrete, Garage - Two Door",2,1.0,3.0,0.4,2.0,1.2,2.0,1.3,"Dishwasher, Microwave",Inside,90047,South Los Angeles
2879 Soper Dr,1285000.0,SingleFamily,1959.0,Central,Central Air,Garage - Attached,3,2.0,8.0,0.8,3.0,2.5,6.0,1.9,,Inside,90046,Hollywood Hills
3981 Moore St #402,876000.0,Condo,2019.0,Central,Central,Covered,2,2.0,7.0,0.5,4.0,0.7,6.0,0.4,"Dishwasher, Dryer, Freezer, Garbage disposal",In Unit,90066,Mar Vista
10422 Hebron Ln,1070000.0,SingleFamily,1959.0,Central,,Carport,3,2.0,9.0,2.3,,,6.0,3.8,"Dishwasher, Disposal, Microwave, Refrigerator",Outside,90077,Bel-Air
3981 Moore St APT 401,1004000.0,Condo,2019.0,Central,Central Air,"Assigned, Community Structure, Tandem",2,2.0,7.0,0.5,4.0,0.7,6.0,0.4,"Dishwasher, Disposal, Microwave, Refrigerator, Washer, Dryer",,90066,Mar Vista
289 S Barrington Ave #A110,635000.0,Condo,1959.0,Central,Central Air,"Community Structure, Garage Door Opener",1,1.0,,,7.0,1.7,6.0,1.2,"Dishwasher, Disposal, Microwave, Refrigerator, Built-In, Electric Cooktop, Electric Oven",Community,90049,Brentwood
2129 Alsace Ave,900000.0,SingleFamily,1941.0,Floor Furnace,,Driveway,4,3.0,5.0,0.4,3.0,1.7,2.0,1.1,"Disposal, Dryer",,90016,West Adams
2546 S Westgate Ave,1600000.0,SingleFamily,1937.0,Central,Central Air,"Carport, Driveway",3,2.0,6.0,0.4,,,6.0,1.5,"Dishwasher, Disposal","Laundry Closet, In Kitchen, Inside, Stackable",90064,Rancho Park
435 S La Fayette Park Pl UNIT 110,580000.0,Condo,1981.0,Central,Central Air,Tandem,2,2.0,3.0,0.3,5.0,0.8,3.0,1.2,Dishwasher,,90057,Westlake
1414 N Las Palmas Ave,1216000.0,MultiFamily,1907.0,Other,Other,"Garage, Covered",4,3.0,4.0,0.3,3.0,0.5,6.0,0.3,,,90028,Hollywood
1634 Malcolm Ave APT 4,1550000.0,Condo,2009.0,Forced Air,,"Assigned, Community Structure, Controlled Entrance, Direct Access",4,4.0,9.0,0.5,,,6.0,1.6,"Dishwasher, Disposal, Microwave",Laundry Closet,90024,Westwood
1115 S Point View St,1480000.0,SingleFamily,1926.0,Central,Central Air,Driveway,3,2.0,5.0,0.2,,,7.0,1.8,,Inside,90035,Beverlywood
2441 Kenilworth Ave,1375000.0,SingleFamily,1947.0,Central,Central Air,Garage - Two Door,2,2.0,9.0,0.3,6.0,0.9,8.0,0.6,"Dishwasher, Disposal, Refrigerator, Washer, Dryer",,90039,Atwater Village
2106 W 84th St,720500.0,SingleFamily,1929.0,Central,Central Air,"Driveway Up Slope From Street, Garage, Garage Faces Front, Gated, RV Potential",5,4.0,3.0,0.7,4.0,2.6,2.0,1.7,Gas Cooktop,"Gas Dryer Hookup, Washer Hookup",90047,South Los Angeles
1728 E 123rd St,450000.0,SingleFamily,1945.0,,Central Air,Garage,3,1.0,7.0,0.5,5.0,0.3,3.0,0.8,,"Gas Dryer Hookup, Washer Hookup",90059,Willowbrook
2560 Armacost Ave,1275000.0,SingleFamily,1939.0,,,"Driveway, Garage - Two Door",2,1.0,6.0,0.4,3.0,0.7,6.0,1.5,"Dishwasher, Microwave, Refrigerator, Oven, Range, Washer, Dryer",In Kitchen,90064,Rancho Park
1747 Hollyvista Ave,1835000.0,SingleFamily,1948.0,Central,Central Air,Garage - Two Door,3,3.0,8.0,0.6,6.0,0.4,8.0,0.4,"Dishwasher, Disposal, Refrigerator, Washer, Dryer",,90027,Los Feliz
2266 Fargo St,490000.0,SingleFamily,1922.0,"Forced Air, Wall Furnace",,,1,1.0,8.0,0.3,6.0,1.3,8.0,1.4,"Refrigerator, Oven, Gas Oven, Range",Inside,90039,Atwater Village
