Address,Sold Price,Type,Year built,Heating,Cooling,Parking,Bedrooms,Bathrooms,Elementary School,Elementary School Score,Elementary School Distance,Middle School,Middle School Score,Middle School Distance,High School,High School Score,High School Distance,Appliances included,Laundry features,Tax assessed value,Annual tax amount,City
3876 Cherrywood Ave,888000.0,SingleFamily,1940.0,Central,,Garage - Two Door,2,1.0,,,,Audubon Middle School,2.0,0.4,Susan Miller Dorsey Senior High School,2.0,1.2,Dishwasher,Laundry Room,746000.0,9257.0,Los Angeles
5119 Chester St,700000.0,SingleFamily,1954.0,Central,Central Air,"Driveway, Asphalt, Garage",3,1.0,Sierra Park Elementary School,5.0,0.2,El Sereno Middle School,5.0,0.4,Woodrow Wilson Senior High School,4.0,1.1,"Convection Oven, Dishwasher, Gas Range, Range Hood, Refrigerator","Gas & Electric Dryer Hookup, In Garage",556601.0,6824.0,Los Angeles
312 W 5th St APT 514,582000.0,Condo,1923.0,,Electric,,2,1.0,,,,John H. Liechty Middle School,3.0,1.2,Belmont Senior High School,3.0,1.1,,Stackable,96496.0,1566.0,Los Angeles
5729 W 76th St,1725000.0,SingleFamily,1947.0,,Central Air,Garage,5,4.0,Westport Heights Elementary School,5.0,0.5,,,,,,,,Laundry Room,1160000.0,14340.0,Los Angeles
100 S Doheny Dr APT 221,599000.0,Condo,1971.0,Central,Central Air,"Assigned, Community Structure, Controlled Entrance, Covered, Garage Door Opener, Garage - Single Door",1,2.0,"Rosewood Avenue Elementary School, School for Advanced Studies",4.0,1.0,John Burroughs Middle School,7.0,3.3,Fairfax Senior High School,7.0,1.9,"Dishwasher, Disposal, Microwave, Refrigerator","Community, Outside, Laundry Room",446500.0,5445.0,Los Angeles
2423 W 30th St,613250.0,SingleFamily,1914.0,,,Concrete,2,1.0,,,,,,,,,,"Dishwasher, Disposal, Microwave, Refrigerator",Outside,435094.0,5308.0,Los Angeles
941 Oneonta Dr,1160000.0,SingleFamily,1990.0,"Forced Air, Natural Gas",Central Air,Garage,4,3.0,Mt. Washington Elementary School,7.0,0.5,,,,Benjamin Franklin Senior High School,7.0,1.1,"Dishwasher, Disposal, Refrigerator","Common Area, Stackable",472760.0,5842.0,Los Angeles
3810 Somerset Dr,999000.0,SingleFamily,1941.0,Floor Furnace,,"Garage, Garage - Two Door, Gated",2,2.0,Coliseum Street Elementary School,2.0,0.4,Audubon Middle School,2.0,0.7,Susan Miller Dorsey Senior High School,2.0,0.7,"Dishwasher, Disposal, Range Hood",,65626.0,994.0,Los Angeles
944 N Laurel Ave,3950000.0,SingleFamily,2014.0,Central,Central Air,"Driveway, Garage - Two Door, On Street",5,6.0,Laurel Elementary School,3.0,0.1,,,,Fairfax Senior High School,7.0,0.5,"Dishwasher, Microwave, Refrigerator, Washer, Dryer",Laundry Room,4411500.0,53428.0,Los Angeles
2316 Glendon Ave,1500000.0,SingleFamily,1926.0,,,Driveway,4,2.0,Westwood Charter Elementary School,9.0,0.3,,,,University Senior High School Charter,6.0,2.0,,See Remarks,130643.0,1787.0,Los Angeles
515 Neva Pl,910000.0,SingleFamily,1922.0,Central,Central Air,"Carport, Attached Carport, Driveway, Concrete, Off Street, RV Access/Parking",4,2.0,Garvanza Elementary School,7.0,0.3,,,,Benjamin Franklin Senior High School,7.0,0.8,"6 Burner Stove, Dishwasher, ENERGY STAR Qualified Appliances, ENERGY STAR Qualified Water Heater, Disposal, Gas Range, Gas Water Heater, Ice Maker, Refrigerator, Water Line to Refrigerator","Gas Dryer Hookup, Laundry Room, Inside",705000.0,8654.0,Los Angeles
1128 Cardiff Ave APT 202,885000.0,Condo,1991.0,Central,Central Air,"Community Structure, Controlled Entrance, Covered, Tandem",2,2.0,Canfield Avenue Elementary School,7.0,0.4,Palms Middle School,7.0,2.6,Alexander Hamilton Senior High School,6.0,1.4,"Dishwasher, Microwave, Washer, Dryer","Laundry Closet, Inside",800997.0,9673.0,Los Angeles
1154 N Alexandria Ave,710000.0,SingleFamily,1920.0,,,Driveway,2,1.0,Ramona Elementary School,3.0,0.1,Joseph Le Conte Middle School,3.0,1.3,,,,"Refrigerator, Washer",,56208.0,861.0,Los Angeles
1003 Keniston Ave,1038690.0,SingleFamily,1924.0,"Natural Gas, Forced Air",Central Air,"Driveway, Garage Door Opener",3,2.0,Wilshire Crest Elementary School,2.0,0.5,John Burroughs Middle School,7.0,0.5,Los Angeles Senior High School,4.0,0.2,"Dishwasher, Disposal, Gas Water Heater","Gas & Electric Dryer Hookup, Laundry Room",75041.0,1234.0,Los Angeles
6100 W 74th St,1160000.0,SingleFamily,1946.0,,Central Air,Garage,3,2.0,Westport Heights Elementary School,5.0,0.5,,,,,,,,Inside,838516.0,10274.0,Los Angeles
8344 Colegio Dr,925000.0,SingleFamily,1942.0,,,,3,2.0,Loyola Village Elementary School,4.0,0.2,,,,,,,,In Garage,215938.0,2798.0,Los Angeles
4276 Brunswick Ave,1450000.0,SingleFamily,1937.0,Central,,Driveway,3,2.0,Glenfeliz Boulevard Elementary School,5.0,0.5,,,,John Marshall Senior High School,8.0,1.5,"Dishwasher, Disposal, Refrigerator",Laundry Room,1305702.0,15946.0,Los Angeles
12806 Stanwood Dr,1664000.0,SingleFamily,1953.0,Radiant,,"Driveway, Garage - Two Door",3,2.0,Walgrove Avenue Elementary School,4.0,0.4,Mark Twain Middle School and World Languages Magnet,4.0,0.7,Venice Senior High School,6.0,1.0,"Dishwasher, Refrigerator",In Garage,808309.0,9874.0,Los Angeles
4237 Sutro Ave,750000.0,SingleFamily,1932.0,"Floor Furnace, Fireplace(s)",,Garage,3,2.0,Forty-Second Street Elementary School,2.0,0.1,Audubon Middle School,2.0,0.4,,,,"Dishwasher, Gas Range","Gas Dryer Hookup, Washer Hookup",704514.0,8744.0,Los Angeles
2168 Clifford St,865000.0,SingleFamily,2019.0,Central,Central,"Garage - Attached, Covered",2,3.0,Clifford Street Elementary School,8.0,0.1,Thomas Starr King Middle School,6.0,1.5,John Marshall Senior High School,8.0,1.7,,"Inside, In Unit, In Closet",,,Los Angeles
1128 W Edgeware Rd #1/2,570000.0,Condo,1931.0,Wall Furnace,,,1,1.0,Betty Plasencia Elementary School,4.0,0.3,Sal Castro Middle School,3.0,0.7,Belmont Senior High School,3.0,0.7,"Refrigerator, Gas Oven, Dryer, Washer","Common Area, Stackable, Inside",,,Los Angeles
805 Temple Ter UNIT 105,472000.0,Condo,1980.0,Central,Central Air,Garage,2,1.0,Bushnell Way Elementary School,1.0,0.5,,,,Benjamin Franklin Senior High School,7.0,1.5,,"Common Area, Electric Dryer Hookup, Washer Hookup",448800.0,5550.0,Los Angeles
1505 S Bentley Ave APT 204,875000.0,Condo,1974.0,Central,Central Air,0 spaces,2,2.0,Fairburn Avenue Elementary School,9.0,1.1,,,,University Senior High School Charter,6.0,1.0,Dishwasher,"In Kitchen, Inside",790500.0,9642.0,Los Angeles
2168 Clifford St LOT 5,865000.0,SingleFamily,2019.0,Central,Central Air,"Garage, Garage - Two Door",2,3.0,Clifford Street Elementary School,8.0,0.1,Thomas Starr King Middle School,6.0,1.5,John Marshall Senior High School,8.0,1.7,,"Laundry Closet, Inside",,,Los Angeles
12919 Montana Ave APT 302,1225000.0,Condo,1979.0,Central,Central Air,Garage - Two Door,2,2.0,Kenter Canyon Elementary School,9.0,1.8,Paul Revere Middle School,7.0,1.1,Palisades Charter High School,8.0,3.1,"Dishwasher, Disposal",,1022007.0,12354.0,Los Angeles
3009 Castle Heights Ave,1420000.0,SingleFamily,1946.0,Central,Central Air,Garage - Two Door,3,2.0,Castle Heights Elementary School,7.0,0.1,Palms Middle School,7.0,1.4,Alexander Hamilton Senior High School,6.0,0.5,"Dishwasher, Disposal, Refrigerator",Inside,1147375.0,14071.0,Los Angeles
12501 Appleton Way,3000000.0,SingleFamily,2020.0,Central,,Garage - Two Door,4,5.0,Walgrove Avenue Elementary School,4.0,0.8,Mark Twain Middle School and World Languages Magnet,4.0,0.8,Venice Senior High School,6.0,0.9,"Barbecue, Dishwasher, Disposal, Microwave, Convection Oven, Washer, Dryer",,1315800.0,15981.0,Los Angeles
3308 Beethoven St,2700000.0,SingleFamily,2014.0,Central,,Garage - Two Door,5,6.0,Walgrove Avenue Elementary School,4.0,0.3,Mark Twain Middle School and World Languages Magnet,4.0,0.6,Venice Senior High School,6.0,0.8,"Barbecue, Dishwasher, Disposal, Microwave, Refrigerator, Dryer",,2472609.0,30030.0,Los Angeles
3936 6th Ave,1100000.0,SingleFamily,1933.0,,,"Driveway - Brick, Garage - Two Door",3,4.0,,,,Audubon Middle School,2.0,0.4,,,,,Inside,969000.0,11942.0,Los Angeles
446 S Bernal Ave,300000.0,SingleFamily,1957.0,Wall,,0 spaces,4,2.0,Euclid Avenue Elementary School,5.0,0.5,Robert Louis Stevenson Middle School,3.0,0.5,Theodore Roosevelt Senior High,3.0,0.9,,,191115.0,2485.0,Los Angeles
562 N Commonwealth Ave,7865000.0,SingleFamily,1916.0,Wall,,Covered,0,0.0,Dayton Heights Elementary School,6.0,0.2,Thomas Starr King Middle School,6.0,1.0,John Marshall Senior High School,8.0,1.8,,,2448000.0,29807.0,Los Angeles
4637 Cleland Ave,756000.0,SingleFamily,1925.0,,Wall/Window Unit(s),,2,1.0,Aldama Elementary School,3.0,0.6,,,,Benjamin Franklin Senior High School,7.0,1.1,,Inside,716653.0,8748.0,Los Angeles
11500 San Vicente Blvd APT 511,1900000.0,Condo,1994.0,"Central, Forced Air",Central Air,"Assigned, Concrete, Secured, Off Street, Parking Space",2,3.0,Kenter Canyon Elementary School,9.0,2.1,Paul Revere Middle School,7.0,2.2,University Senior High School Charter,6.0,0.4,"Built-In Range, Self Cleaning Oven, Dishwasher, Double Oven","Laundry Closet, Laundry Room",1530000.0,18490.0,Los Angeles
7812 Kentwood Ave,1849000.0,SingleFamily,1950.0,Central,Central Air,"Driveway, Concrete, Driveway Level, Gated, RV Access/Parking",4,3.0,Cowan Avenue Elementary School,9.0,0.3,,,,,,,"Convection Oven, Dishwasher, Double Oven, Electric Oven, Gas Cooktop, Microwave, Refrigerator, Self Cleaning Oven, Tankless Water Heater, Water Line to Refrigerator, Water Softener",Laundry Room,1250835.0,15299.0,Los Angeles
1263 S Redondo Blvd,975000.0,SingleFamily,1946.0,Central,,"Driveway, Garage",3,2.0,Saturn Street Elementary School,4.0,0.6,,,,Fairfax Senior High School,7.0,2.1,,Laundry Closet,334324.0,4194.0,Los Angeles
4644 Dunham St,425000.0,SingleFamily,1939.0,,,,1,1.0,Ford Boulevard Elementary School,5.0,0.5,David Wark Griffith Middle School,5.0,1.3,,,,,Washer Hookup,336600.0,4352.0,Los Angeles
3648 4th Ave,675000.0,SingleFamily,1920.0,,Central Air,,2,1.0,Sixth Avenue Elementary School,3.0,0.4,Audubon Middle School,2.0,0.9,Susan Miller Dorsey Senior High School,2.0,1.6,,"Gas Dryer Hookup, Inside, Washer Hookup",561000.0,6965.0,Los Angeles
2255 Kenilworth Ave,1210000.0,SingleFamily,1938.0,Natural Gas,,Garage - Two Door,3,3.0,Ivanhoe Elementary School,9.0,0.5,Thomas Starr King Middle School,6.0,0.9,John Marshall Senior High School,8.0,0.8,,Laundry Room,103285.0,1423.0,Los Angeles
4527 Paulhan Ave,949000.0,SingleFamily,1922.0,Central,Central Air,"Driveway, Garage",3,3.0,Toland Way Elementary School,5.0,0.3,,,,Benjamin Franklin Senior High School,7.0,1.3,"6 Burner Stove, Gas Oven, Gas Cooktop, Microwave","Gas Dryer Hookup, Laundry Room, Washer Hookup",708990.0,8828.0,Los Angeles
1715 Roscomare Rd,2000000.0,SingleFamily,1950.0,Central,Central Air,Garage - Two Door,2,2.0,Roscomare Road Elementary School,9.0,1.2,,,,University Senior High School Charter,6.0,3.5,"Dishwasher, Microwave, Refrigerator",Inside,164720.0,2513.0,Los Angeles
6231 Maryland Dr,2670000.0,SingleFamily,,Central,"Central Air, Dual",Garage,4,3.0,Hancock Park Elementary School,7.0,0.2,John Burroughs Middle School,7.0,1.7,Fairfax Senior High School,7.0,1.0,"Dishwasher, Disposal, Refrigerator, Washer, Dryer",Inside,1992423.0,24222.0,Los Angeles
5929 Hereford Dr,459000.0,SingleFamily,1948.0,Wall Furnace,,,3,2.0,Montebello Park Elementary School,4.0,0.6,,,,Schurr High School,5.0,1.7,"Gas Oven, Microwave, Refrigerator, Water Heater, Washer","Inside, Washer Hookup",376320.0,5083.0,Los Angeles
1425 W 12th St APT 145,450000.0,Condo,1983.0,Central,Central Air,Garage,2,1.0,Tenth Street Elementary School,2.0,0.2,John H. Liechty Middle School,3.0,0.6,Belmont Senior High School,3.0,1.2,"Disposal, Gas Oven, Gas Range, Dryer, Washer",In Kitchen,397951.0,4879.0,Los Angeles
841 1/2 S Bundy Dr,1564000.0,Townhouse,1989.0,Central,"Central Air, Dual","Direct Access, Garage Door Opener, Garage - Two Door, Guest, Private",3,3.0,Kenter Canyon Elementary School,9.0,1.7,Paul Revere Middle School,7.0,1.6,University Senior High School Charter,6.0,0.7,"Dishwasher, Disposal, Microwave, Refrigerator, Washer, Dryer",,1204469.0,14680.0,Los Angeles
12255 Sky Ln,23500000.0,SingleFamily,2019.0,Central,Central Air,"Driveway, Garage",7,11.0,Kenter Canyon Elementary School,9.0,0.8,Paul Revere Middle School,7.0,1.8,Palisades Charter High School,8.0,3.6,"Barbecue, Dishwasher, Refrigerator, Washer, Dryer",Laundry Room,5982735.0,87177.0,Los Angeles
645 W 9th St APT 215,595000.0,Condo,,Central,Central Air,Assigned,2,2.0,Tenth Street Elementary School,2.0,0.8,John H. Liechty Middle School,3.0,0.8,Belmont Senior High School,3.0,1.0,"Dishwasher, Disposal, Refrigerator, Dryer",,678580.0,8349.0,Los Angeles
2909 Kenwood Ave,860000.0,SingleFamily,1908.0,,,,4,2.0,,,,,,,,,,,Laundry Room,422236.0,5436.0,Los Angeles
11613 Ruthelen St,680000.0,SingleFamily,1950.0,Central,Central Air,"Driveway, Garage Faces Front",4,2.0,Cimarron Avenue Elementary School,4.0,0.2,Animo Charter Middle No. 3,4.0,0.5,George Washington Preparatory High School,2.0,0.8,"Gas Range, Microwave, Water Heater","Gas Dryer Hookup, Inside, Washer Hookup",354078.0,4828.0,Los Angeles
2342 Beverwil Dr,1400000.0,SingleFamily,1949.0,,,Driveway,3,2.0,Castle Heights Elementary School,7.0,0.3,Palms Middle School,7.0,1.7,Alexander Hamilton Senior High School,6.0,0.7,,Inside,1352520.0,16489.0,Los Angeles
3460 Griffith Park Blvd,2470000.0,SingleFamily,1973.0,Central,Central Air,"Auto Driveway Gate, Direct Access, Garage Door Opener, Driveway, Concrete, Garage - Two Door, Gated",4,4.0,Franklin Avenue Elementary School,8.0,0.8,Thomas Starr King Middle School,6.0,1.2,John Marshall Senior High School,8.0,0.5,"Dishwasher, Disposal, Refrigerator, Built-In",Laundry Room,2440776.0,29871.0,Los Angeles
385 E 116th St,450000.0,SingleFamily,1941.0,Wall Furnace,,Garage - Two Door,2,1.0,,,,Samuel Gompers Middle School,2.0,0.3,,,,,Inside,385000.0,5051.0,Los Angeles
751 N Fairfax Ave #4,925000.0,Condo,2010.0,Central,Central Air,"Assigned, Community Structure, Covered, Gated, Guest",2,2.0,Laurel Elementary School,3.0,0.2,,,,Fairfax Senior High School,7.0,0.2,"Dishwasher, Disposal",,671867.0,8206.0,Los Angeles
12046 Coyne St,3250000.0,SingleFamily,1936.0,Central,,Garage - Two Door,3,3.0,Kenter Canyon Elementary School,9.0,1.2,Paul Revere Middle School,7.0,1.3,University Senior High School Charter,6.0,1.2,Barbecue,,1410288.0,17208.0,Los Angeles
2843 Folsom St,470000.0,SingleFamily,1922.0,,,Garage - Attached,2,1.0,Malabar Street Elementary School,4.0,0.3,Belvedere Middle School,4.0,1.1,"Math, Science, & Technology Magnet Academy At Roosevelt High",9.0,0.8,,,191134.0,2543.0,Los Angeles
3920 Brilliant Dr,1685000.0,SingleFamily,2020.0,Central,Central Air,Garage - Two Door,3,4.0,Toland Way Elementary School,5.0,0.7,,,,Benjamin Franklin Senior High School,7.0,1.6,"Dishwasher, Disposal, Microwave, Refrigerator, Washer, Dryer",Laundry Room,220984.0,2688.0,Los Angeles
2232 Moreno Dr,3430000.0,SingleFamily,1928.0,Central,Central Air,Garage - Two Door,3,5.0,Ivanhoe Elementary School,9.0,0.5,Thomas Starr King Middle School,6.0,0.8,John Marshall Senior High School,8.0,0.8,"Dishwasher, Disposal, Microwave, Refrigerator, Double Oven, Range, Range Hood, Washer, Dryer","Laundry Closet, Inside",1203450.0,14784.0,Los Angeles
2545 Medlow Ave,1417500.0,SingleFamily,1991.0,Central,Central Air,Garage - Attached,5,4.0,Delevan Drive Elementary School,9.0,0.2,,,,Eagle Rock High School,7.0,1.2,"Dishwasher, Microwave, Refrigerator, Built-In, Oven, Range","Upper Level, Laundry Room",1128834.0,13904.0,Los Angeles
3020 Hollister Ave,525000.0,SingleFamily,1923.0,Forced Air,,"Carport, Driveway",2,1.0,Sierra Park Elementary School,5.0,0.1,El Sereno Middle School,5.0,0.7,Woodrow Wilson Senior High School,4.0,1.4,,,38718.0,642.0,Los Angeles
11514 Willowbrook Ave,530000.0,SingleFamily,2015.0,Central,Central Air,Garage - Attached,5,4.0,Grape Street Elementary School,3.0,0.3,Edwin Markham Middle School,3.0,0.8,,,,,Gas & Electric Dryer Hookup,421063.0,5540.0,Los Angeles
1939 Yosemite Dr,690000.0,SingleFamily,1913.0,"Wall Furnace, Fireplace(s)",,"Concrete, Garage",2,2.0,Eagle Rock Elementary and Magnet Center,8.0,0.2,,,,Eagle Rock High School,7.0,0.3,"Oven, Refrigerator, Water Heater, Gas Cooking, Dishwasher, Range",Outside,260720.0,3208.0,Los Angeles
7250 Franklin Ave UNIT 101,478000.0,Condo,1964.0,Central,Central Air,"Assigned, Garage, Guest, Valet",1,1.0,Gardner Street Elementary School,7.0,0.4,Hubert Howe Bancroft Middle School,3.0,1.1,Hollywood Senior High School,6.0,0.5,"Dishwasher, Disposal, Microwave, Refrigerator",Community,116779.0,1553.0,Los Angeles
950 N Stanley Ave,1365000.0,SingleFamily,1922.0,Central,Central Air,"Driveway, Garage - Single Door",2,2.0,Laurel Elementary School,3.0,0.4,,,,Fairfax Senior High School,7.0,0.4,"Dishwasher, Disposal, Microwave, Refrigerator, Gas Range, Range Hood",In Kitchen,767275.0,9852.0,Los Angeles
8874 Guthrie Ave,1090000.0,SingleFamily,1928.0,Forced Air,,Driveway,2,2.0,Shenandoah Street Elementary School,4.0,0.2,Mark Twain Middle School and World Languages Magnet,4.0,4.7,Alexander Hamilton Senior High School,6.0,0.5,"Dishwasher, Microwave, Refrigerator, Washer, Dryer",Stackable,663000.0,8144.0,Los Angeles
11818 Courtleigh Dr APT 204,795000.0,Condo,1982.0,Central,Central Air,"Community Structure, Controlled Entrance, Guest, Tandem",2,2.0,Braddock Drive Elementary School,5.0,0.4,Marina Del Rey Middle School,2.0,0.7,Venice Senior High School,6.0,1.6,"Dishwasher, Microwave, Refrigerator, Dryer",,250838.0,3070.0,Los Angeles
355 E 61st St,380000.0,SingleFamily,1913.0,,,Garage,2,1.0,,,,Los Angeles Academy Middle,3.0,0.4,,,,,,262409.0,3275.0,Los Angeles
889 Francisco St UNIT 1007,413000.0,Condo,2017.0,Central,Central,Covered,0,1.0,Tenth Street Elementary School,2.0,0.6,John H. Liechty Middle School,3.0,0.6,Belmont Senior High School,3.0,0.8,"Dishwasher, Dryer, Garbage disposal, Refrigerator, Washer",In Unit,596855.0,7273.0,Los Angeles
1533 E 56th St,520000.0,SingleFamily,1906.0,,,Garage,2,1.0,Hooper Avenue Elementary School,2.0,0.5,Los Angeles Academy Middle,3.0,1.2,,,,,,375000.0,4790.0,Los Angeles
1538 E 120th St,420000.0,SingleFamily,1946.0,Floor Furnace,,"Driveway, Garage, Off Site",2,1.0,Carver Elementary School,3.0,0.2,,,,Centennial High School,3.0,0.7,,"Gas Dryer Hookup, In Kitchen, Washer Hookup",173078.0,2594.0,Los Angeles
10982 Roebling Ave APT 328,438000.0,Condo,1973.0,Electric,Electric,"Covered, Detached Carport, Garage - Single Door",0,1.0,Warner Avenue Elementary School,9.0,1.1,,,,University Senior High School Charter,6.0,1.4,"Dishwasher, Disposal, Microwave, Refrigerator",Laundry Room,418200.0,5088.0,Los Angeles
10538 Butterfield Rd,3180000.0,SingleFamily,2020.0,Central,Central Air,"Driveway, Garage - Two Door",4,4.0,Overland Avenue Elementary School,9.0,0.3,Palms Middle School,7.0,1.0,Alexander Hamilton Senior High School,6.0,1.6,"Barbecue, Dishwasher, Microwave, Refrigerator",Laundry Room,1613034.0,19719.0,Los Angeles
10911 Chalon Rd,29000000.0,SingleFamily,1999.0,"Forced air, Gas","Central, Solar","Garage - Attached, Off-street, Covered",6,11.0,Roscomare Road Elementary School,9.0,2.2,,,,University Senior High School Charter,6.0,2.5,"Dishwasher, Dryer, Freezer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Trash compactor, Washer",,19141739.0,232289.0,Los Angeles
861 E 116th Pl,495000.0,SingleFamily,1949.0,,Central Air,Garage,3,2.0,One Hundred Sixteenth Street Elementary School,4.0,0.1,Samuel Gompers Middle School,2.0,0.8,,,,"Dishwasher, Gas Range, Microwave","Gas Dryer Hookup, Inside, Washer Hookup",390000.0,5200.0,Los Angeles
1838 W 88th Pl,595000.0,SingleFamily,1938.0,Central,Central Air,Garage - Two Door,3,2.0,La Salle Avenue Elementary School,3.0,0.3,Animo Charter Middle No. 3,4.0,2.2,George Washington Preparatory High School,2.0,1.3,,,52846.0,861.0,Los Angeles
8121 Norton Ave APT 204,835000.0,Condo,2005.0,Central,Central Air,"Assigned, Community Structure, Controlled Entrance, Guest",2,2.0,Laurel Elementary School,3.0,0.4,,,,Fairfax Senior High School,7.0,0.7,"Dishwasher, Disposal, Microwave, Refrigerator, Washer, Dryer",Laundry Closet,700553.0,8701.0,Los Angeles
427 Museum Dr,715000.0,SingleFamily,1924.0,Wall Furnace,,Detached Carport,1,1.0,Mt. Washington Elementary School,7.0,0.5,,,,Benjamin Franklin Senior High School,7.0,1.0,"Disposal, Refrigerator, Washer, Dryer",Laundry Closet,587825.0,7168.0,Los Angeles
1130 W 83rd St,610000.0,SingleFamily,1938.0,"Floor Furnace, Fireplace(s)",,Garage,2,2.0,,,,Mary Mcleod Bethune Middle School,2.0,1.5,George Washington Preparatory High School,2.0,1.7,"Self Cleaning Oven, Convection Oven, Dishwasher, Disposal, Gas Oven, Gas Range, Microwave, Water Line to Refrigerator, Dryer, Washer","Gas Dryer Hookup, Laundry Room, Washer Hookup",469200.0,5895.0,Los Angeles
6341 Drexel Ave,2065000.0,SingleFamily,1930.0,Central,Central Air,Driveway,3,3.0,Hancock Park Elementary School,7.0,0.3,John Burroughs Middle School,7.0,1.8,Fairfax Senior High School,7.0,0.9,"Barbecue, Dishwasher, Refrigerator, Washer, Dryer","Inside, Laundry Room",1412654.0,17162.0,Los Angeles
421 S La Fayette Park Pl APT 204,350000.0,Condo,1971.0,Central,Central Air,"Assigned, Community Structure, Garage Door Opener",1,1.0,Charles White Elementary School,3.0,0.3,Virgil Middle School,5.0,0.8,Belmont Senior High School,3.0,1.2,"Dishwasher, Disposal, Microwave, Refrigerator",Community,293413.0,3598.0,Los Angeles
928 W 20th St,1100000.0,SingleFamily,1910.0,Central,Central Air,Garage - Two Door,4,3.0,Norwood Street Elementary School,4.0,0.1,John Adams Middle School,4.0,0.9,West Adams Preparatory High School,4.0,0.7,"Dishwasher, Refrigerator, Washer, Dryer","Inside, Laundry Room",1012138.0,12437.0,Los Angeles
1130 S Flower St APT 317,575000.0,Condo,2003.0,Central,Central Air,Garage,1,2.0,Tenth Street Elementary School,2.0,0.7,John H. Liechty Middle School,3.0,0.9,Belmont Senior High School,3.0,1.2,,Laundry Closet,450892.0,5994.0,Los Angeles
1240 S Corning St APT 101,707000.0,Condo,1989.0,Central,,Tandem,2,2.0,Carthay Center Elementary,5.0,0.6,,,,Fairfax Senior High School,7.0,2.1,"Dishwasher, Disposal, Dryer",,513441.0,6212.0,Los Angeles
1322 El Paso Dr,1250000.0,SingleFamily,2019.0,Central,Central Air,Garage - Two Door,3,3.0,Toland Way Elementary School,5.0,0.2,,,,Benjamin Franklin Senior High School,7.0,1.3,"Dishwasher, Microwave, Refrigerator",Inside,204000.0,2470.0,Los Angeles
3520 Loma Lada Dr,1625000.0,SingleFamily,2020.0,Central,"Central, Air Conditioning","Garage - Attached, Covered",4,4.0,,,,,,,,,,"Dishwasher, Dryer, Freezer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Washer",In Closet,,,Los Angeles
12001 Ocean Park Blvd APT 4,1030000.0,Condo,1990.0,Central,"Central Air, ENERGY STAR Qualified Equipment","Assigned, Attached Carport, Controlled Entrance, Underground",4,3.0,Richland Avenue Elementary School,6.0,0.4,,,,University Senior High School Charter,6.0,1.6,"6 Burner Stove, Built-In Range, Self Cleaning Oven, Dishwasher, Electric Oven, Electric Range, ENERGY STAR Qualified Appliances, Gas Oven, Gas Range, Gas Cooktop, Gas Water Heater, Range Hood, Recirculated Exhaust Fan, Refrigerator, Dryer, Washer","Gas Dryer Hookup, In Garage, See Remarks, Washer Hookup",480194.0,5904.0,Los Angeles
346 E 126th St,435000.0,SingleFamily,1947.0,,,Garage,2,1.0,One Hundred Twenty-Second Street Elementary School,6.0,0.2,,,,,,,,In Garage,83533.0,1593.0,Los Angeles
1131 N Hazard Ave,678000.0,SingleFamily,1934.0,Central,Central Air,Gated,4,3.0,Robert F. Kennedy Elementary School,4.0,0.2,Belvedere Middle School,4.0,0.7,,,,,Inside,450000.0,6041.0,Los Angeles
1228 Cliff Dr,820000.0,SingleFamily,1923.0,Wall Furnace,,On Street,1,1.0,Aragon Avenue Elementary School,2.0,0.2,Florence Nightingale Middle School,5.0,0.7,,,,"Dishwasher, Refrigerator",Inside,319277.0,3944.0,Los Angeles
3961 Via Marisol APT 117,425000.0,Condo,1982.0,Central,Central Air,"Garage, Gated, Tandem",2,1.0,Bushnell Way Elementary School,1.0,0.6,Luther Burbank Middle School,6.0,1.7,Woodrow Wilson Senior High School,4.0,1.5,"Dishwasher, Electric Oven, Electric Range, Disposal","Electric Dryer Hookup, Inside, Washer Hookup",350999.0,4311.0,Los Angeles
654 N Virgil Ave APT 308,724000.0,Condo,2019.0,Central,Central,Covered,3,3.0,Dayton Heights Elementary School,6.0,0.1,Thomas Starr King Middle School,6.0,0.9,John Marshall Senior High School,8.0,1.7,"Dishwasher, Dryer, Garbage disposal, Refrigerator, Washer",In Unit,,,Los Angeles
630 W 6th St APT 411,420000.0,Condo,1962.0,Central,Central Air,Community Structure,1,1.0,,,,John H. Liechty Middle School,3.0,0.9,Belmont Senior High School,3.0,0.9,"Dishwasher, Disposal, Refrigerator, Washer, Dryer",Inside,505000.0,6213.0,Los Angeles
2718 Kenwood Ave,841000.0,SingleFamily,1906.0,Floor Furnace,,Detached Carport,4,1.0,,,,,,,,,,Refrigerator,Inside,377197.0,4913.0,Los Angeles
1136 Stradella Rd,18000000.0,SingleFamily,1956.0,Central,Central,"Garage, Garage - Attached, Covered",9,12.0,Roscomare Road Elementary School,9.0,1.8,,,,University Senior High School Charter,6.0,3.0,Dishwasher,"Inside, Room",14851605.0,179524.0,Los Angeles
656 Robinson St,1315000.0,SingleFamily,1924.0,Central,Central Air,"Concrete, Garage - Two Door",4,3.0,Micheltorena Street Elementary School,5.0,0.6,Virgil Middle School,5.0,0.8,Belmont Senior High School,3.0,1.5,"Dishwasher, Microwave, Refrigerator",Inside,933300.0,11540.0,Los Angeles
